City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Kavieng,PG,2022-03-08 00:14:51,-2.5744,150.7967,83.84,70,91,9.1
196,Mizdah,LY,2022-03-08 00:14:52,31.4451,12.9801,50.92,87,21,17.27
197,Uige,AO,2022-03-08 00:14:52,-7.6087,15.0613,67.66,95,98,1.9
198,Grand Gaube,MU,2022-03-08 00:14:53,-20.0064,57.6608,75.6,92,98,1.99
199,Omsukchan,RU,2022-03-08 00:14:53,62.5333,155.8,-8.5,92,52,4.68
200,La Sarre,CA,2022-03-08 00:14:54,48.8002,-79.1996,18.9,89,100,11.16
201,Saint-Augustin,CA,2022-03-08 00:14:54,51.226,-58.6502,20.88,96,100,9.44
202,Tautira,PF,2022-03-08 00:14:55,-17.7333,-149.15,87.82,76,37,13.18
203,San Quintin,MX,2022-03-08 00:14:55,30.4833,-115.95,60.01,60,0,13.2
204,Yauya,PE,2022-03-08 00:14:56,-8.9833,-77.3,52.92,77,100,3.06
205,Xining,CN,2022-03-08 00:14:56,36.6167,101.7667,38.21,28,55,3.27
206,Colares,PT,2022-03-08 00:14:56,38.7992,-9.4469,55.76,78,100,24.0
207,Egvekinot,RU,2022-03-08 00:14:57,66.3167,-179.1667,22.62,95,100,3.18
208,Lethem,GY,2022-03-08 00:14:57,3.3803,-59.7968,74.95,86,90,8.39
209,Nara,JP,2022-03-08 00:14:58,34.6851,135.8049,42.96,54,4,4.12
210,Nemuro,JP,2022-03-08 00:14:58,43.3236,145.575,30.63,77,17,7.85
211,Pangnirtung,CA,2022-03-08 00:14:59,66.1451,-65.7125,-18.45,95,92,4.92
212,Rundu,NA,2022-03-08 00:14:59,-17.9333,19.7667,64.36,98,88,4.56
213,Mount Isa,AU,2022-03-08 00:15:00,-20.7333,139.5,85.77,28,0,11.5
214,Chiredzi,ZW,2022-03-08 00:15:00,-21.05,31.6667,70.34,80,9,4.0
215,Thompson,CA,2022-03-08 00:15:01,55.7435,-97.8558,24.26,92,100,5.68
216,Leh,IN,2022-03-08 00:15:01,34.1667,77.5833,5.13,88,79,1.88
217,Krasnouralsk,RU,2022-03-08 00:14:26,58.3638,60.0407,-13.86,100,95,2.68
218,Tura,IN,2022-03-08 00:15:02,25.5198,90.2201,66.76,42,0,3.04
219,Kurchum,KZ,2022-03-08 00:15:02,48.5722,83.6542,30.49,98,100,6.22
220,Esperance,AU,2022-03-08 00:15:03,-33.8667,121.9,65.26,75,76,9.57
221,Ashland,US,2022-03-08 00:12:28,40.8167,-82.2665,37.65,85,100,14.47
222,Yerbogachen,RU,2022-03-08 00:15:04,61.2767,108.0108,-2.0,93,100,7.56
223,Karpathos,GR,2022-03-08 00:15:04,35.507,27.2132,53.56,71,0,2.3
224,Padang,ID,2022-03-08 00:15:04,-0.9492,100.3543,75.25,84,100,3.58
225,Broken Hill,AU,2022-03-08 00:15:05,-31.95,141.4333,66.34,52,97,23.78
226,Tahoua,NE,2022-03-08 00:16:06,14.8888,5.2692,80.91,12,14,11.65
227,Umm Lajj,SA,2022-03-08 00:16:06,25.0213,37.2685,71.22,86,70,6.53
228,Kankan,GN,2022-03-08 00:16:07,10.3854,-9.3057,78.67,16,65,5.03
229,Ostersund,SE,2022-03-08 00:16:07,63.1792,14.6357,36.05,80,100,13.8
230,Humaita,BR,2022-03-08 00:16:08,-7.5061,-63.0208,74.93,95,100,1.97
231,Caravelas,BR,2022-03-08 00:16:08,-17.7125,-39.2481,75.99,82,0,5.23
232,Pisco,PE,2022-03-08 00:16:09,-13.7,-76.2167,75.25,73,75,4.61
233,San Patricio,US,2022-03-08 00:16:09,28.017,-97.5169,57.29,58,100,15.66
234,Shirokiy,RU,2022-03-08 00:16:10,49.758,129.523,11.46,98,99,6.02
235,Khani,GE,2022-03-08 00:16:10,41.9563,42.9566,36.97,66,100,5.7
236,Bodinayakkanur,IN,2022-03-08 00:16:11,10.0167,77.35,71.89,93,92,2.48
237,Kharhial,IN,2022-03-08 00:16:11,20.2833,82.7667,67.68,27,0,1.01
238,Faya,SA,2022-03-08 00:16:12,18.3851,42.4509,57.31,64,15,2.01
239,Tiksi,RU,2022-03-08 00:16:12,71.6872,128.8694,-19.28,100,100,3.53
240,Jacareacanga,BR,2022-03-08 00:16:13,-6.2222,-57.7528,72.19,98,99,2.17
241,Miandrivazo,MG,2022-03-08 00:16:13,-19.5167,45.4667,79.12,82,38,0.6
242,Voyvozh,RU,2022-03-08 00:16:14,62.892,54.9635,-15.77,98,83,5.53
243,Muzhi,RU,2022-03-08 00:16:14,65.3667,64.6667,-31.63,96,57,5.86
244,Northam,GB,2022-03-08 00:16:15,51.0333,-4.2167,42.48,66,64,21.63
245,Mayumba,GA,2022-03-08 00:16:16,-3.432,10.6554,80.53,87,89,4.81
246,Norman Wells,CA,2022-03-08 00:16:16,65.282,-126.8329,14.04,67,75,14.97
247,Yarovoye,RU,2022-03-08 00:16:17,52.9273,78.58,6.39,85,100,15.82
248,Sanming,CN,2022-03-08 00:16:17,26.2486,117.6186,49.53,87,20,2.17
249,Pozo Colorado,PY,2022-03-08 00:16:17,-23.4923,-58.7972,89.29,42,82,2.86
250,Alofi,NU,2022-03-08 00:16:18,-19.0595,-169.9187,85.89,74,75,9.22
251,Cayenne,GF,2022-03-08 00:16:18,4.9333,-52.3333,78.1,89,75,5.01
