City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Sambava,MG,79.09,moderate rain,-14.2667,50.1667,Melrose
621,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
625,Campo Alegre,BR,84.11,broken clouds,-9.7819,-36.3508,vilsfarless
628,Biltine,TD,81.1,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
629,Eirunepe,BR,82.9,very heavy rain,-6.6603,-69.8736,Atrás de você
630,Silago,PH,80.33,overcast clouds,10.5291,125.1618,Silago Tourist Inns
632,Lae,PG,75.52,overcast clouds,-6.7221,146.9847,Phils Hotel
633,Khipro,PK,80.69,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
638,Gurun,MY,82.18,broken clouds,5.8172,100.4738,The Jerai Hill Resort
639,Tanhacu,BR,89.6,scattered clouds,-14.0214,-41.2481,Balneário Jurema
655,Monrovia,LR,79.79,few clouds,6.3005,-10.7969,Sunset Inn
657,Samut Sakhon,TH,86.02,overcast clouds,13.5833,100.3,Taweesuk Residence
658,Daru,PG,79.9,light rain,-9.0763,143.2092,Daru Lodge
666,Tarpon Springs,US,88.18,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
667,Salalah,OM,77.56,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
668,Cintalapa,MX,78.08,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
670,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
673,Yenagoa,NG,82.62,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
675,Pangai,TO,81.55,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
676,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
678,Diffa,NE,79.12,clear sky,13.3154,12.6113,ProDAF/Diffa
687,Loandjili,CG,78.91,few clouds,-4.7561,11.8578,Résidence ARCHANGE
689,Floriano,BR,88.75,overcast clouds,-6.7669,-43.0225,Hotel Maktub
691,Deulgaon Raja,IN,83.7,overcast clouds,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
692,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
693,Camopi,GF,75.31,light rain,3.1655,-52.3158,La pousada
694,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
695,Veraval,IN,76.57,clear sky,20.9,70.3667,Lords Inn Somnath
697,Ribas Do Rio Pardo,BR,83.21,very heavy rain,-20.4431,-53.7592,Pousada Avenida
705,San Pedro,PH,82.31,few clouds,14.35,121.0167,Esquivel's Garden And Resort
708,Buritis,BR,81.99,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
709,Manavalakurichi,IN,80.51,clear sky,8.1333,77.3,Jebinrio home
710,Bengkulu,ID,76.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
713,Roanoke Rapids,US,76.95,overcast clouds,36.4615,-77.6542,Hampton Inn Roanoke Rapids
