City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Walvis Bay,NA,-22.9575,14.5053,65.35,82,33,4.61,scattered clouds
296,Inuvik,CA,68.3499,-133.7218,-8.64,74,100,8.05,light snow
297,Manthani,IN,18.65,79.6667,85.3,34,81,9.84,broken clouds
298,Severnyy,RU,50.677,36.5532,28.44,40,0,2.24,clear sky
299,Jieshou,CN,33.2634,115.3611,41.05,80,100,6.33,overcast clouds
300,Pisco,PE,-13.7,-76.2167,71.65,83,75,10.36,broken clouds
301,Beringovskiy,RU,63.05,179.3167,-7.4,80,7,4.36,clear sky
302,Paita,PE,-5.0892,-81.1144,80.58,61,100,12.19,overcast clouds
303,Salinas,US,36.6777,-121.6555,56.28,80,100,12.66,overcast clouds
304,Luderitz,NA,-26.6481,15.1594,75.13,62,0,12.95,clear sky
305,Brenham,US,30.1669,-96.3977,74.35,27,0,4.61,clear sky
306,La Paz,BO,-16.5,-68.15,55.38,66,75,5.75,broken clouds
307,Omboue,GA,-1.5746,9.2618,79.12,86,86,9.19,overcast clouds
308,Georgetown,MY,5.4112,100.3354,84.13,83,40,3.44,thunderstorm
309,Montepuez,MZ,-13.1256,38.9997,70.65,99,100,5.7,light rain
310,Jalu,LY,29.0331,21.5482,62.55,30,52,18.39,broken clouds
311,Innisfail,AU,-17.5333,146.0333,75.69,85,77,5.44,broken clouds
312,Novyy Urgal,RU,51.0736,132.5642,-8.03,99,73,1.95,broken clouds
313,Sakakah,SA,29.9697,40.2064,63.97,36,92,5.48,overcast clouds
314,Yumen,CN,40.2833,97.2,38.48,43,100,14.85,overcast clouds
315,Toro,CO,4.6117,-76.0814,81.68,71,71,4.14,broken clouds
316,Arak,IR,34.0917,49.6892,45.37,38,0,4.61,clear sky
317,Maningrida,AU,-12.0667,134.2667,78.39,83,99,2.17,overcast clouds
318,Carnarvon,AU,-24.8667,113.6333,77.07,88,100,11.5,overcast clouds
319,Pizarro,CO,4.9533,-77.366,82.94,71,39,8.08,light rain
320,San Cristobal,VE,7.7669,-72.225,78.98,47,99,5.57,overcast clouds
321,Hengshui,CN,37.7322,115.7011,33.49,47,100,5.53,overcast clouds
322,Saint-Augustin,CA,51.226,-58.6502,28.89,68,53,7.72,broken clouds
323,Fort Smith,US,35.3859,-94.3986,68.18,33,0,10.36,clear sky
324,Novikovo,RU,51.1537,37.8879,8.33,99,55,2.84,broken clouds
325,Musiri,IN,10.9333,78.45,86.04,55,79,0.87,broken clouds
326,Comoapan,MX,18.4167,-95.1667,77.97,75,72,11.03,broken clouds
327,Lagoa,PT,39.05,-27.9833,55.26,55,88,7.4,overcast clouds
328,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.02,88,56,4.74,moderate rain
329,Suntar,RU,62.1444,117.6319,10.45,94,100,7.74,overcast clouds
330,Warrnambool,AU,-38.3833,142.4833,59.81,83,99,7.43,overcast clouds
331,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,77,58,14.38,broken clouds
332,Pishin,PK,30.5803,66.9961,61.45,24,0,2.91,clear sky
333,Minuri,PH,16.535,121.8574,73.58,96,78,1.68,broken clouds
334,Murdochville,CA,48.9583,-65.5006,22.08,80,100,5.91,overcast clouds
335,Ust-Uda,RU,54.1742,103.0304,9.3,97,100,3.44,overcast clouds
336,Bodden Town,KY,19.2833,-81.25,86.0,68,20,11.5,few clouds
337,Beloha,MG,-25.1667,45.05,67.62,74,62,7.14,broken clouds
338,Sharan,RU,54.8167,54.0,27.54,96,100,7.0,overcast clouds
339,Fortuna,US,40.5982,-124.1573,49.93,96,100,13.8,overcast clouds
340,Tripoli,LY,32.8752,13.1875,60.84,66,16,29.3,few clouds
341,Nagpur,IN,21.15,79.1,84.22,51,20,2.3,haze
342,Artsyz,UA,45.9919,29.4182,31.3,52,0,9.13,clear sky
343,Ilulissat,GL,69.2167,-51.1,6.82,72,100,16.11,light shower snow
344,Nago,JP,26.5881,127.9761,67.05,79,78,8.72,broken clouds
345,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,50,20,18.41,few clouds
346,La Ronge,CA,55.1001,-105.2842,34.05,51,0,4.61,clear sky
347,Chicama,PE,-7.8447,-79.1469,64.94,56,91,11.21,overcast clouds
